,Filu MKOI,grubinho MKOI,flyuh MKOI,sheydos MKOI,soulcas MKOI
kamo TL,1 1 +0,1 0 +1,0 1 -1,,0 1 -1
keiko TL,0 1 -1,2 0 +2,2 0 +2,,
kamyk TL,,,,,
nAts TL,2 0 +2,,2 1 +1,,
paTiTek TL,1 0 +1,,,,
