,Filu MKOI,grubinho MKOI,flyuh MKOI,sheydos MKOI,soulcas MKOI
kamo TL,2 1 +1,,2 1 +1,0 1 -1,
keiko TL,1 0 +1,0 1 -1,1 0 +1,,
kamyk TL,,2 2 +0,1 0 +1,,
nAts TL,1 2 -1,,1 0 +1,1 0 +1,
paTiTek TL,,0 1 -1,1 0 +1,0 1 -1,
