,Filu MKOI,grubinho MKOI,flyuh MKOI,sheydos MKOI,soulcas MKOI
kamo TL,2 3 -1,2 3 -1,1 4 -3,4 1 +3,3 3 +0
keiko TL,3 3 +0,4 1 +3,4 0 +4,4 1 +3,3 2 +1
kamyk TL,3 1 +2,4 1 +3,1 3 -2,2 0 +2,1 2 -1
nAts TL,3 5 -2,1 0 +1,4 2 +2,3 2 +1,3 0 +3
paTiTek TL,4 2 +2,3 3 +0,5 1 +4,1 0 +1,2 2 +0
