,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,3 Round 2 soulcas Filu Round 4 soulcas flyuh Round 22 Filu grubinho,,,,,,,,,59,1,0
nAts TL,,2 Round 5 flyuh grubinho Round 12 soulcas Filu,1 Round 13 flyuh Filu soulcas,,,,,,,,42,2,0
kamyk TL,,3 Round 2 grubinho flyuh Round 4 sheydos grubinho Round 5 sheydos Filu,1 Round 6 soulcas grubinho sheydos,,,,,,,,52,0,0
keiko TL,,5 Round 1 Filu soulcas Round 15 sheydos soulcas Round 17 Filu soulcas Round 22 sheydos soulcas Round 23 flyuh soulcas,1 Round 16 soulcas Filu sheydos,,,,,,,,52,1,0
kamo TL,,1 Round 1 flyuh grubinho,1 Round 19 Filu flyuh soulcas,,,,,,,,39,5,0
soulcas MKOI,,2 Round 5 nAts paTiTek Round 10 nAts paTiTek,,,,,,,,,52,0,1
sheydos MKOI,,4 Round 2 kamyk paTiTek Round 3 paTiTek keiko Round 10 kamyk kamo Round 13 kamo nAts,,,,1 Round 2 paTiTek,,,,,67,1,1
flyuh MKOI,,2 Round 14 kamo keiko Round 15 paTiTek nAts,1 Round 20 keiko paTiTek kamo,,,,,,,,50,0,0
Filu MKOI,,7 Round 1 nAts kamo Round 8 paTiTek keiko Round 11 keiko kamyk Round 12 kamo kamyk Round 18 kamo keiko Round 21 nAts keiko Round 23 paTiTek kamo,,,,,,,,,56,2,0
grubinho MKOI,,3 Round 8 nAts kamyk Round 11 paTiTek kamo Round 23 kamyk keiko,1 Round 7 keiko kamo paTiTek,,,,,,,,62,3,2
