,Filu MKOI,grubinho MKOI,flyuh MKOI,sheydos MKOI,soulcas MKOI
kamo TL,0 1 -1,,,1 0 +1,
keiko TL,0 3 -3,,,,
kamyk TL,0 1 -1,,,,
nAts TL,1 2 -1,1 0 +1,1 0 +1,2 0 +2,1 0 +1
paTiTek TL,,,,,
