,Filu MKOI,grubinho MKOI,flyuh MKOI,sheydos MKOI,soulcas MKOI
kamo TL,0 1 -1,,,,
keiko TL,0 1 -1,,,,
kamyk TL,,,,,
nAts TL,1 1 +0,1 0 +1,1 0 +1,,
paTiTek TL,,,,,
