,f0rsakeN PRX,Jinggg PRX,PatMen PRX,something PRX,d4v41 PRX
free1ng DRX,,1 3 -2,,1 1 +0,1 0 +1
BeYN DRX,,1 0 +1,,,
MaKo DRX,1 0 +1,0 1 -1,0 1 -1,0 1 -1,
Flashback DRX,,0 3 -3,1 0 +1,0 1 -1,1 1 +0
HYUNMIN DRX,1 1 +0,4 0 +4,1 0 +1,2 0 +2,
