,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
free1ng DRX,,4 Round 12 something PatMen Round 19 d4v41 Jinggg Round 22 something PatMen Round 24 Jinggg PatMen,1 Round 10 something Jinggg d4v41,,,,,,,,44,0,1
MaKo DRX,,3 Round 18 d4v41 PatMen Round 25 PatMen something Round 27 f0rsakeN PatMen,,,,,,,,,40,2,0
BeYN DRX,,4 Round 13 something f0rsakeN Round 15 something Jinggg Round 18 Jinggg something Round 28 something d4v41,,,,,,,,,40,2,0
HYUNMIN DRX,,6 Round 5 something PatMen Round 8 f0rsakeN Jinggg Round 10 f0rsakeN PatMen Round 13 PatMen d4v41 Round 27 Jinggg d4v41 Round 28 Jinggg PatMen,3 Round 12 d4v41 f0rsakeN something Round 16 Jinggg f0rsakeN PatMen Round 20 something Jinggg PatMen,2 Round 14 f0rsakeN something Jinggg PatMen Round 17 Jinggg something PatMen f0rsakeN,,,,,,,69,0,0
Flashback DRX,,2 Round 11 f0rsakeN d4v41 Round 23 f0rsakeN PatMen,1 Round 26 d4v41 Jinggg PatMen,,,,,,,,40,0,0
Jinggg PRX,,3 Round 4 free1ng Flashback Round 15 Flashback free1ng Round 22 free1ng MaKo,6 Round 1 Flashback free1ng BeYN Round 2 MaKo Flashback HYUNMIN Round 6 HYUNMIN BeYN Flashback Round 9 Flashback free1ng MaKo Round 11 MaKo Flashback HYUNMIN Round 21 Flashback HYUNMIN free1ng,,,,,,,,64,1,0
f0rsakeN PRX,,2 Round 21 BeYN MaKo Round 25 BeYN MaKo,2 Round 7 HYUNMIN Flashback free1ng Round 15 BeYN HYUNMIN MaKo,,,1 Round 25 MaKo,,,,,31,1,0
d4v41 PRX,,2 Round 4 BeYN HYUNMIN Round 28 HYUNMIN Flashback,1 Round 24 Flashback HYUNMIN MaKo,,,,,,,,48,1,0
PatMen PRX,,3 Round 3 BeYN Flashback Round 8 BeYN HYUNMIN Round 23 BeYN HYUNMIN,,,,,,,,,41,0,0
something PRX,,3 Round 2 BeYN free1ng Round 16 HYUNMIN BeYN Round 22 Flashback BeYN,1 Round 18 Flashback HYUNMIN MaKo,,,,,,,,39,1,0
