,f0rsakeN PRX,Jinggg PRX,PatMen PRX,something PRX,d4v41 PRX
free1ng DRX,1 6 -5,7 9 -2,10 3 +7,8 7 +1,6 3 +3
BeYN DRX,3 5 -2,10 5 +5,4 4 +0,7 5 +2,6 9 -3
MaKo DRX,11 4 +7,2 9 -7,6 2 +4,8 3 +5,5 6 -1
Flashback DRX,11 6 +5,4 16 -12,4 3 +1,5 5 +0,7 5 +2
HYUNMIN DRX,11 5 +6,11 9 +2,11 5 +6,11 8 +3,11 5 +6
