,f0rsakeN PRX,Jinggg PRX,PatMen PRX,something PRX,d4v41 PRX
free1ng DRX,1 3 -2,4 8 -4,3 1 +2,4 5 -1,4 0 +4
BeYN DRX,2 3 -1,4 2 +2,1 4 -3,5 5 +0,4 4 +0
MaKo DRX,5 4 +1,1 5 -4,3 2 +1,3 2 +1,3 3 +0
Flashback DRX,6 2 +4,2 9 -7,3 2 +1,1 2 -1,5 5 +0
HYUNMIN DRX,7 3 +4,8 4 +4,8 4 +4,8 4 +4,5 4 +1
