,f0rsakeN PRX,Jinggg PRX,PatMen PRX,something PRX,d4v41 PRX
free1ng DRX,0 3 -3,3 1 +2,7 2 +5,4 2 +2,2 3 -1
BeYN DRX,1 2 -1,6 3 +3,3 0 +3,2 0 +2,2 5 -3
MaKo DRX,6 0 +6,1 4 -3,3 0 +3,5 1 +4,2 3 -1
Flashback DRX,5 4 +1,2 7 -5,1 1 +0,4 3 +1,2 0 +2
HYUNMIN DRX,4 2 +2,3 5 -2,3 1 +2,3 4 -1,6 1 +5
