,f0rsakeN PRX,Jinggg PRX,PatMen PRX,something PRX,d4v41 PRX
free1ng DRX,,,2 1 +1,1 0 +1,
BeYN DRX,1 0 +1,2 0 +2,1 0 +1,,
MaKo DRX,2 0 +2,,,1 0 +1,
Flashback DRX,,0 3 -3,,1 2 -1,
HYUNMIN DRX,,0 1 -1,0 1 -1,0 1 -1,1 0 +1
