,Boaster FNC,Chronicle FNC,kaajak FNC,Alfajer FNC,crashies FNC
Ruxic NAVI,5 3 +2,3 3 +0,6 3 +3,2 5 -3,0 3 -3
ANGE1 NAVI,4 4 +0,1 3 -2,3 3 +0,4 2 +2,1 4 -3
Shao NAVI,1 1 +0,2 3 -1,1 5 -4,1 3 -2,1 4 -3
alexiiik NAVI,3 1 +2,7 7 +0,4 2 +2,3 5 -2,8 2 +6
hiro NAVI,3 1 +2,4 4 +0,3 2 +1,4 4 +0,4 2 +2
