,Boaster FNC,Chronicle FNC,kaajak FNC,Alfajer FNC,crashies FNC
Ruxic NAVI,,,,0 3 -3,
ANGE1 NAVI,,,,,
Shao NAVI,,,,0 2 -2,
alexiiik NAVI,,4 0 +4,,2 3 -1,
hiro NAVI,,,,0 2 -2,
