,Boaster FNC,Chronicle FNC,kaajak FNC,Alfajer FNC,crashies FNC
Ruxic NAVI,,,4 0 +4,,
ANGE1 NAVI,,1 1 +0,,,
Shao NAVI,,1 1 +0,2 0 +2,,1 0 +1
alexiiik NAVI,,2 2 +0,1 1 +0,1 1 +0,1 0 +1
hiro NAVI,0 1 -1,1 1 +0,0 3 -3,0 1 -1,1 0 +1
