,Boaster FNC,Chronicle FNC,kaajak FNC,Alfajer FNC,crashies FNC
Ruxic NAVI,,0 1 -1,3 0 +3,,
ANGE1 NAVI,,0 1 -1,0 1 -1,0 1 -1,
Shao NAVI,,,,,0 1 -1
alexiiik NAVI,,1 0 +1,3 0 +3,0 1 -1,1 1 +0
hiro NAVI,2 0 +2,2 0 +2,0 2 -2,3 0 +3,
