,Boaster FNC,Chronicle FNC,kaajak FNC,Alfajer FNC,crashies FNC
Ruxic NAVI,,,,0 1 -1,0 1 -1
ANGE1 NAVI,,1 0 +1,0 1 -1,,1 1 +0
Shao NAVI,,,0 1 -1,,
alexiiik NAVI,,,1 0 +1,,
hiro NAVI,,,,,
