,Boaster FNC,Chronicle FNC,kaajak FNC,Alfajer FNC,crashies FNC
Ruxic NAVI,17 6 +11,15 11 +4,18 11 +7,13 13 +0,10 10 +0
ANGE1 NAVI,6 11 -5,9 9 +0,6 11 -5,9 10 -1,5 13 -8
Shao NAVI,4 7 -3,7 10 -3,9 13 -4,4 12 -8,8 11 -3
alexiiik NAVI,11 7 +4,17 12 +5,14 6 +8,11 18 -7,13 9 +4
hiro NAVI,13 4 +9,10 12 -2,8 12 -4,16 16 +0,10 7 +3
