,Boaster FNC,Chronicle FNC,kaajak FNC,Alfajer FNC,crashies FNC
Ruxic NAVI,1 0 +1,1 0 +1,3 0 +3,1 0 +1,
ANGE1 NAVI,1 0 +1,,1 1 +0,1 0 +1,
Shao NAVI,,,0 1 -1,0 1 -1,
alexiiik NAVI,1 0 +1,2 1 +1,2 1 +1,1 1 +0,
hiro NAVI,,,0 1 -1,0 1 -1,
