,Boaster FNC,Chronicle FNC,kaajak FNC,Alfajer FNC,crashies FNC
Ruxic NAVI,,,2 1 +1,,1 0 +1
ANGE1 NAVI,,,,,
Shao NAVI,,,0 1 -1,0 1 -1,
alexiiik NAVI,,,1 0 +1,,
hiro NAVI,,,0 1 -1,,
