,Boaster FNC,Chronicle FNC,kaajak FNC,Alfajer FNC,crashies FNC
Ruxic NAVI,,,2 1 +1,0 4 -4,1 1 +0
ANGE1 NAVI,,1 0 +1,0 1 -1,,1 1 +0
Shao NAVI,,,0 2 -2,0 3 -3,
alexiiik NAVI,,4 0 +4,2 0 +2,2 3 -1,
hiro NAVI,,,0 1 -1,0 2 -2,
