,Boaster FNC,Chronicle FNC,kaajak FNC,Alfajer FNC,crashies FNC
Ruxic NAVI,1 0 +1,1 1 +0,10 0 +10,1 0 +1,
ANGE1 NAVI,1 0 +1,1 2 -1,1 2 -1,1 1 +0,
Shao NAVI,,1 1 +0,2 1 +1,0 1 -1,1 1 +0
alexiiik NAVI,1 0 +1,5 3 +2,6 2 +4,2 3 -1,2 1 +1
hiro NAVI,2 1 +1,3 1 +2,0 6 -6,3 2 +1,1 0 +1
