,heat KRÜ,keznit KRÜ,mta KRÜ,Shyy KRÜ,Melser KRÜ
C0M LEV,3 0 +3,0 4 -4,3 1 +2,3 2 +1,3 0 +3
Mazino LEV,5 0 +5,2 3 -1,2 2 +0,0 3 -3,2 1 +1
aspas LEV,1 3 -2,6 2 +4,2 1 +1,7 1 +6,2 2 +0
kiNgg LEV,2 1 +1,4 1 +3,2 2 +0,4 1 +3,5 0 +5
tex LEV,5 2 +3,4 1 +3,5 0 +5,2 1 +1,2 4 -2
