,heat KRÜ,keznit KRÜ,mta KRÜ,Shyy KRÜ,Melser KRÜ
C0M LEV,1 0 +1,,,,1 0 +1
Mazino LEV,,1 1 +0,,1 0 +1,
aspas LEV,1 0 +1,2 0 +2,,,
kiNgg LEV,,1 0 +1,,,0 1 -1
tex LEV,1 0 +1,1 1 +0,1 0 +1,,1 0 +1
