,heat KRÜ,keznit KRÜ,mta KRÜ,Shyy KRÜ,Melser KRÜ
C0M LEV,5 0 +5,1 5 -4,4 1 +3,3 4 -1,5 3 +2
Mazino LEV,6 1 +5,4 5 -1,3 3 +0,2 7 -5,6 1 +5
aspas LEV,6 3 +3,11 4 +7,8 2 +6,9 3 +6,6 3 +3
kiNgg LEV,5 3 +2,8 2 +6,4 3 +1,5 1 +4,7 2 +5
tex LEV,8 2 +6,6 3 +3,9 2 +7,10 2 +8,4 6 -2
