,heat KRÜ,keznit KRÜ,mta KRÜ,Shyy KRÜ,Melser KRÜ
C0M LEV,2 0 +2,1 1 +0,1 0 +1,0 2 -2,2 3 -1
Mazino LEV,1 1 +0,2 2 +0,1 1 +0,2 4 -2,4 0 +4
aspas LEV,5 0 +5,5 2 +3,6 1 +5,2 2 +0,4 1 +3
kiNgg LEV,3 2 +1,4 1 +3,2 1 +1,1 0 +1,2 2 +0
tex LEV,3 0 +3,2 2 +0,4 2 +2,8 1 +7,2 2 +0
