,heat KRÜ,keznit KRÜ,mta KRÜ,Shyy KRÜ,Melser KRÜ
C0M LEV,2 0 +2,0 1 -1,,,1 0 +1
Mazino LEV,1 0 +1,2 2 +0,,1 0 +1,
aspas LEV,1 0 +1,5 0 +5,1 0 +1,3 0 +3,1 0 +1
kiNgg LEV,,2 0 +2,,,0 1 -1
tex LEV,1 0 +1,2 1 +1,1 0 +1,0 1 -1,2 0 +2
