,d4v41 PRX,f0rsakeN PRX,PatMen PRX,something PRX,Jinggg PRX
Shiro BME,6 5 +1,2 6 -4,0 6 -6,3 8 -5,5 7 -2
Famouz BME,4 4 +0,5 3 +2,6 5 +1,3 6 -3,3 13 -10
BerserX BME,5 5 +0,5 5 +0,5 6 -1,4 8 -4,5 9 -4
dos9 BME,5 4 +1,9 10 -1,5 8 -3,10 3 +7,6 8 -2
NcSlasher BME,4 10 -6,7 4 +3,6 7 -1,5 5 +0,4 9 -5
