,d4v41 PRX,f0rsakeN PRX,PatMen PRX,something PRX,Jinggg PRX
Shiro BME,4 2 +2,0 2 -2,0 4 -4,3 5 -2,4 3 +1
Famouz BME,2 4 -2,3 1 +2,3 2 +1,2 4 -2,2 4 -2
BerserX BME,4 3 +1,5 3 +2,3 4 -1,2 2 +0,5 5 +0
dos9 BME,2 1 +1,5 7 -2,2 4 -2,6 2 +4,3 2 +1
NcSlasher BME,2 4 -2,3 2 +1,3 5 -2,4 3 +1,1 4 -3
