,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,,,,,,,,,,41,1,0
RieNs TH,,2 Round 10 kamo paTiTek Round 23 keiko nAts,4 Round 6 nAts Serial paTiTek Round 8 paTiTek kamo keiko Round 16 kamo keiko nAts Round 17 kamo nAts paTiTek,1 Round 1 nAts Serial paTiTek kamo RieNs,1 Round 14 kamo nAts Serial keiko paTiTek,,,,,,79,4,0
MiniBoo TH,,6 Round 6 kamo keiko Round 8 nAts Serial Round 11 paTiTek nAts Round 16 paTiTek Serial Round 18 kamo keiko Round 21 kamo paTiTek,1 Round 23 Serial paTiTek kamo,,,,,1 Round 23 paTiTek Serial kamo,,,56,1,0
Wo0t TH,,5 Round 3 keiko kamo Round 9 nAts keiko Round 11 keiko Serial Round 13 keiko Serial Round 21 keiko nAts,,1 Round 20 nAts keiko kamo Serial,,,,,,,79,1,1
benjyfishy TH,,2 Round 10 keiko nAts Round 19 keiko Serial,2 Round 13 paTiTek kamo nAts Round 15 paTiTek kamo nAts,,,1 Round 9 Serial,,,,,55,0,1
paTiTek TL,,4 Round 3 RieNs benjyfishy Round 4 Wo0t Boo Round 12 MiniBoo benjyfishy Round 15 RieNs MiniBoo,,,,,1 Round 12 benjyfishy MiniBoo,,,,45,2,0
nAts TL,,2 Round 4 MiniBoo benjyfishy Round 16 Wo0t MiniBoo,1 Round 5 MiniBoo benjyfishy RieNs,,,,,,,,37,0,0
keiko TL,,2 Round 15 Wo0t benjyfishy Round 22 MiniBoo Wo0t,,,,1 Round 15 benjyfishy,,,,,31,0,0
kamo TL,,5 Round 3 Boo MiniBoo Round 7 MiniBoo Boo Round 19 benjyfishy RieNs Round 22 benjyfishy Boo Round 23 benjyfishy Boo,,,,1 Round 1 RieNs,,,,,50,0,0
Serial TL,,2 Round 5 Wo0t Boo Round 11 Boo RieNs,1 Round 18 MiniBoo Boo RieNs,1 Round 9 Wo0t MiniBoo RieNs Boo,,,,,,,58,7,1
