,Serial TL,paTiTek TL,kamo TL,nAts TL,keiko TL
MiniBoo TH,2 1 +1,3 4 -1,2 2 +0,1 0 +1,5 4 +1
RieNs TH,3 2 +1,2 2 +0,2 0 +2,2 1 +1,3 2 +1
Boo TH,2 2 +0,2 4 -2,1 1 +0,3 0 +3,2 1 +1
benjyfishy TH,1 4 -3,2 0 +2,3 0 +3,3 0 +3,1 2 -1
Wo0t TH,4 4 +0,6 0 +6,6 0 +6,6 0 +6,4 2 +2
