,Serial TL,paTiTek TL,kamo TL,nAts TL,keiko TL
MiniBoo TH,1 0 +1,0 1 -1,2 1 +1,,
RieNs TH,,,,,
Boo TH,1 0 +1,1 0 +1,1 1 +0,1 0 +1,
benjyfishy TH,,,0 1 -1,,
Wo0t TH,1 0 +1,,,1 3 -2,
