,Serial TL,paTiTek TL,kamo TL,nAts TL,keiko TL
MiniBoo TH,1 3 -2,4 5 -1,6 1 +5,1 1 +0,5 0 +5
RieNs TH,1 1 +0,1 3 -2,1 2 -1,1 2 -1,2 1 +1
Boo TH,4 4 +0,3 0 +3,3 2 +1,5 2 +3,1 1 +0
benjyfishy TH,6 1 +5,6 1 +5,2 1 +1,4 0 +4,4 2 +2
Wo0t TH,3 0 +3,1 2 -1,0 1 -1,2 5 -3,1 2 -1
