,Serial TL,paTiTek TL,kamo TL,nAts TL,keiko TL
MiniBoo TH,8 7 +1,11 12 -1,15 7 +8,4 7 -3,12 5 +7
RieNs TH,8 8 +0,10 9 +1,10 4 +6,9 4 +5,10 5 +5
Boo TH,6 12 -6,7 6 +1,7 8 -1,9 3 +6,5 2 +3
benjyfishy TH,11 5 +6,10 4 +6,7 6 +1,12 2 +10,8 6 +2
Wo0t TH,11 8 +3,7 3 +4,8 2 +6,14 7 +7,12 8 +4
