,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,1 Round 5 nAts Serial,3 Round 7 kamo Serial keiko Round 11 paTiTek kamo nAts Round 13 paTiTek Serial kamo,,,,,,,,72,2,0
RieNs TH,,1 Round 11 Serial keiko,,,,,,,,,36,4,0
MiniBoo TH,,1 Round 4 Serial keiko,2 Round 10 keiko paTiTek kamo Round 15 kamo keiko paTiTek,1 Round 1 paTiTek kamo keiko nAts,,,,,1 Round 1 keiko paTiTek nAts kamo,,69,0,1
Wo0t TH,,1 Round 2 Serial keiko,,,,,,,,,50,2,0
benjyfishy TH,,,4 Round 3 kamo paTiTek Serial Round 6 Serial paTiTek keiko Round 14 nAts Serial keiko Round 16 Serial kamo keiko,1 Round 9 nAts keiko Serial paTiTek,,3 Round 3 Serial Round 10 Serial Round 13 nAts,,,,,112,2,1
paTiTek TL,,2 Round 1 Wo0t benjyfishy Round 13 MiniBoo RieNs,,,,,,,,,54,0,0
nAts TL,,5 Round 3 Wo0t RieNs Round 9 Wo0t MiniBoo Round 10 Wo0t RieNs Round 13 Wo0t Boo Round 14 Wo0t Boo,,,,,,,,,50,1,0
keiko TL,,,1 Round 12 RieNs Wo0t benjyfishy,,,1 Round 14 benjyfishy,,,,,42,0,0
kamo TL,,1 Round 1 RieNs Boo,1 Round 5 MiniBoo Wo0t RieNs,,,,,,,,38,0,1
Serial TL,,2 Round 10 Boo MiniBoo Round 14 RieNs MiniBoo,,,,,,,,,34,2,0
