,Serial TL,paTiTek TL,kamo TL,nAts TL,keiko TL
MiniBoo TH,1 0 +1,1 1 +0,1 0 +1,1 0 +1,1 1 +0
RieNs TH,,0 1 -1,,,0 1 -1
Boo TH,,1 1 +0,1 0 +1,1 0 +1,0 1 -1
benjyfishy TH,,,,,
Wo0t TH,,,,1 0 +1,
