,Serial TL,paTiTek TL,kamo TL,nAts TL,keiko TL
MiniBoo TH,,1 0 +1,2 3 -1,0 3 -3,0 1 -1
RieNs TH,,1 0 +1,1 0 +1,,1 0 +1
Boo TH,,,2 1 +1,,
benjyfishy TH,,,0 1 -1,,2 0 +2
Wo0t TH,1 0 +1,,,1 0 +1,1 1 +0
