,Serial TL,paTiTek TL,kamo TL,nAts TL,keiko TL
MiniBoo TH,5 3 +2,4 3 +1,7 4 +3,2 6 -4,2 1 +1
RieNs TH,4 5 -1,7 4 +3,7 2 +5,6 1 +5,5 2 +3
Boo TH,0 6 -6,2 2 +0,3 5 -2,1 1 +0,2 0 +2
benjyfishy TH,4 0 +4,2 3 -1,2 5 -3,5 2 +3,3 2 +1
Wo0t TH,4 4 +0,0 1 -1,2 1 +1,6 2 +4,7 4 +3
