,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sheydos MKOI,3 4 -1,2 2 +0,3 5 -2,2 2 +0,2 2 +0
soulcas MKOI,4 5 -1,2 3 -1,2 3 -1,4 2 +2,3 3 +0
flyuh MKOI,2 5 -3,6 0 +6,4 6 -2,5 2 +3,4 3 +1
Filu MKOI,5 1 +4,3 4 -1,5 7 -2,4 4 +0,4 4 +0
grubinho MKOI,6 5 +1,4 2 +2,2 4 -2,3 6 -3,4 3 +1
