,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sheydos MKOI,1 0 +1,,,,1 0 +1
soulcas MKOI,,,,,0 1 -1
flyuh MKOI,,1 1 +0,0 2 -2,,
Filu MKOI,,0 1 -1,,0 2 -2,1 0 +1
grubinho MKOI,0 1 -1,,,,1 2 -1
