,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sheydos MKOI,5 7 -2,3 4 -1,4 8 -4,3 5 -2,5 2 +3
soulcas MKOI,4 6 -2,4 7 -3,4 6 -2,4 3 +1,6 6 +0
flyuh MKOI,2 8 -6,8 3 +5,5 12 -7,6 2 +4,4 4 +0
Filu MKOI,6 2 +4,3 9 -6,5 8 -3,6 8 -2,6 4 +2
grubinho MKOI,6 9 -3,4 5 -1,4 5 -1,3 6 -3,5 6 -1
