,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sheydos MKOI,0 1 -1,,,1 0 +1,1 1 +0
soulcas MKOI,,,0 1 -1,,1 0 +1
flyuh MKOI,,1 0 +1,,2 0 +2,0 1 -1
Filu MKOI,0 1 -1,0 2 -2,1 2 -1,,2 0 +2
grubinho MKOI,1 1 +0,1 1 +0,1 0 +1,1 1 +0,1 0 +1
