,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sheydos MKOI,1 1 +0,,,1 0 +1,2 1 +1
soulcas MKOI,,,0 1 -1,,1 1 +0
flyuh MKOI,,2 1 +1,0 2 -2,2 0 +2,0 1 -1
Filu MKOI,0 1 -1,0 3 -3,1 2 -1,0 2 -2,3 0 +3
grubinho MKOI,1 2 -1,1 1 +0,1 0 +1,1 1 +0,2 2 +0
