,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sheydos MKOI,2 3 -1,1 2 -1,1 3 -2,1 3 -2,3 0 +3
soulcas MKOI,0 1 -1,2 4 -2,2 3 -1,0 1 -1,3 3 +0
flyuh MKOI,0 3 -3,2 3 -1,1 6 -5,1 0 +1,0 1 -1
Filu MKOI,1 1 +0,0 5 -5,0 1 -1,2 4 -2,2 0 +2
grubinho MKOI,0 4 -4,0 3 -3,2 1 +1,,1 3 -2
