,Sayf VIT,Kicks VIT,Derke VIT,CyvOph VIT,Less VIT
xeus FUT,,,0 1 -1,,
AtaKaptan FUT,,,0 1 -1,,
qRaxs FUT,,,,,
yetujey FUT,,,,,
MrFaliN FUT,,,0 2 -2,,
