,Sayf VIT,Kicks VIT,Derke VIT,CyvOph VIT,Less VIT
xeus FUT,,,,,
AtaKaptan FUT,0 1 -1,,,,
qRaxs FUT,0 2 -2,,,,
yetujey FUT,0 1 -1,,,,
MrFaliN FUT,,,,,
