,Zyppan M8,Kada M8,Click M8,kamyk M8,Minny M8
AtaKaptan FUT,11 8 +3,12 8 +4,9 9 +0,9 14 -5,10 11 -1
qRaxs FUT,9 7 +2,12 11 +1,13 7 +6,10 11 -1,11 10 +1
MrFaliN FUT,8 8 +0,11 6 +5,13 8 +5,14 14 +0,10 11 -1
xeus FUT,11 9 +2,7 14 -7,15 10 +5,14 10 +4,11 11 +0
yetujey FUT,12 5 +7,12 11 +1,10 12 -2,8 17 -9,11 8 +3
