,Zyppan M8,Kada M8,Click M8,kamyk M8,Minny M8
AtaKaptan FUT,1 0 +1,1 0 +1,1 1 +0,,
qRaxs FUT,0 1 -1,,,0 1 -1,
MrFaliN FUT,,,1 2 -1,,1 0 +1
xeus FUT,,1 3 -2,3 1 +2,1 1 +0,0 1 -1
yetujey FUT,,,0 2 -2,,
