,Zyppan M8,Kada M8,Click M8,kamyk M8,Minny M8
AtaKaptan FUT,2 3 -1,8 5 +3,5 3 +2,2 7 -5,6 6 +0
qRaxs FUT,5 5 +0,1 5 -4,6 4 +2,4 6 -2,4 4 +0
MrFaliN FUT,4 7 -3,6 3 +3,6 3 +3,8 7 +1,4 4 +0
xeus FUT,6 4 +2,5 6 -1,4 2 +2,7 5 +2,7 7 +0
yetujey FUT,7 3 +4,5 6 -1,5 3 +2,5 9 -4,4 4 +0
