,Zyppan M8,Kada M8,Click M8,kamyk M8,Minny M8
AtaKaptan FUT,6 3 +3,2 3 -1,2 4 -2,2 5 -3,1 3 -2
qRaxs FUT,1 2 -1,6 3 +3,3 1 +2,2 5 -3,1 4 -3
MrFaliN FUT,2 1 +1,2 3 -1,4 3 +1,5 5 +0,4 3 +1
xeus FUT,3 3 +0,2 7 -5,7 4 +3,4 2 +2,3 2 +1
yetujey FUT,1 2 -1,2 1 +1,2 7 -5,2 5 -3,4 4 +0
