,Zyppan M8,Kada M8,Click M8,kamyk M8,Minny M8
AtaKaptan FUT,0 1 -1,0 2 -2,1 0 +1,,3 1 +2
qRaxs FUT,1 0 +1,0 1 -1,2 0 +2,,
MrFaliN FUT,0 2 -2,,,1 0 +1,1 0 +1
xeus FUT,1 0 +1,1 1 +0,2 0 +2,1 2 -1,0 2 -2
yetujey FUT,1 0 +1,1 3 -2,,1 0 +1,2 0 +2
