,Zyppan M8,Kada M8,Click M8,kamyk M8,Minny M8
AtaKaptan FUT,3 2 +1,2 0 +2,2 2 +0,5 2 +3,3 2 +1
qRaxs FUT,3 0 +3,5 3 +2,4 2 +2,4 0 +4,6 2 +4
MrFaliN FUT,2 0 +2,3 0 +3,3 2 +1,1 2 -1,2 4 -2
xeus FUT,2 2 +0,0 1 -1,4 4 +0,3 3 +0,1 2 -1
yetujey FUT,4 0 +4,5 4 +1,3 2 +1,1 3 -2,3 0 +3
