,Zyppan M8,Kada M8,Click M8,kamyk M8,Minny M8
AtaKaptan FUT,1 0 +1,,,1 0 +1,
qRaxs FUT,,,,,
MrFaliN FUT,,,1 1 +0,,0 1 -1
xeus FUT,0 1 -1,,2 0 +2,1 1 +0,1 0 +1
yetujey FUT,,1 1 +0,3 1 +2,,
