,havoc FUR,Khalil FUR,mwzera FUR,nzr FUR,xand FUR
aspas LEV,1 2 -1,1 1 +0,2 0 +2,,
kiNgg LEV,0 1 -1,,1 0 +1,0 1 -1,
C0M LEV,,,0 2 -2,,
tex LEV,1 0 +1,,0 1 -1,0 1 -1,1 1 +0
Mazino LEV,,1 0 +1,,,0 1 -1
