,havoc FUR,Khalil FUR,mwzera FUR,nzr FUR,xand FUR
aspas LEV,2 3 -1,1 1 +0,3 0 +3,,2 0 +2
kiNgg LEV,0 2 -2,0 1 -1,3 1 +2,0 1 -1,1 0 +1
C0M LEV,,,0 3 -3,,2 0 +2
tex LEV,2 1 +1,0 1 -1,1 1 +0,0 1 -1,1 1 +0
Mazino LEV,,1 0 +1,,,0 2 -2
