,havoc FUR,Khalil FUR,mwzera FUR,nzr FUR,xand FUR
aspas LEV,3 4 -1,2 0 +2,3 1 +2,2 2 +0,5 1 +4
kiNgg LEV,4 2 +2,3 2 +1,3 1 +2,1 2 -1,2 3 -1
C0M LEV,4 0 +4,6 1 +5,3 5 -2,3 4 -1,4 0 +4
tex LEV,3 2 +1,1 3 -2,4 7 -3,4 1 +3,3 1 +2
Mazino LEV,2 4 -2,3 1 +2,5 2 +3,4 2 +2,2 3 -1
