,havoc FUR,Khalil FUR,mwzera FUR,nzr FUR,xand FUR
aspas LEV,1 1 +0,,1 0 +1,,2 0 +2
kiNgg LEV,0 1 -1,0 1 -1,2 1 +1,,1 0 +1
C0M LEV,,,0 1 -1,,2 0 +2
tex LEV,1 1 +0,0 1 -1,1 0 +1,,
Mazino LEV,,,,,0 1 -1
