,kamyk M8,Kada M8,Click M8,Zyppan M8,Minny M8
marteen KC,6 4 +2,5 1 +4,4 4 +0,8 3 +5,4 4 +0
Avez KC,2 7 -5,3 4 -1,6 2 +4,3 2 +1,6 5 +1
SUYGETSU KC,4 3 +1,6 1 +5,3 2 +1,3 4 -1,2 5 -3
saadhak KC,3 7 -4,2 3 -1,5 3 +2,2 3 -1,2 1 +1
Elite KC,1 8 -7,1 3 -2,2 3 -1,2 2 +0,3 2 +1
