,kamyk M8,Kada M8,Click M8,Zyppan M8,Minny M8
marteen KC,10 4 +6,9 6 +3,6 5 +1,12 5 +7,7 4 +3
Avez KC,4 8 -4,9 5 +4,9 5 +4,8 3 +5,6 5 +1
SUYGETSU KC,5 3 +2,7 1 +6,7 5 +2,4 6 -2,7 5 +2
saadhak KC,6 8 -2,3 4 -1,7 6 +1,5 4 +1,3 3 +0
Elite KC,5 9 -4,4 5 -1,3 7 -4,3 2 +1,8 2 +6
