,kamyk M8,Kada M8,Click M8,Zyppan M8,Minny M8
marteen KC,,1 0 +1,,,
Avez KC,,1 0 +1,1 1 +0,,
SUYGETSU KC,1 0 +1,,2 1 +1,,
saadhak KC,,,1 1 +0,1 0 +1,0 1 -1
Elite KC,,,0 2 -2,1 0 +1,
