,kamyk M8,Kada M8,Click M8,Zyppan M8,Minny M8
marteen KC,4 0 +4,4 5 -1,2 1 +1,4 2 +2,3 0 +3
Avez KC,2 1 +1,6 1 +5,3 3 +0,5 1 +4,
SUYGETSU KC,1 0 +1,1 0 +1,4 3 +1,1 2 -1,5 0 +5
saadhak KC,3 1 +2,1 1 +0,2 3 -1,3 1 +2,1 2 -1
Elite KC,4 1 +3,3 2 +1,1 4 -3,1 0 +1,5 0 +5
