,kamyk M8,Kada M8,Click M8,Zyppan M8,Minny M8
marteen KC,0 1 -1,2 0 +2,3 1 +2,2 1 +1,0 2 -2
Avez KC,0 1 -1,1 0 +1,2 2 +0,,1 3 -2
SUYGETSU KC,1 0 +1,0 1 -1,3 1 +2,1 0 +1,
saadhak KC,,0 1 -1,2 1 +1,2 0 +2,0 1 -1
Elite KC,,,2 2 +0,1 0 +1,
