,Jremy TS,JessieVash TS,invy TS,Wild0reoo TS,2GE TS
primmie TLN,6 3 +3,2 1 +1,2 5 -3,1 3 -2,4 5 -1
Killua TLN,3 1 +2,3 2 +1,4 6 -2,3 3 +0,2 3 -1
thyy TLN,2 1 +1,7 3 +4,4 5 -1,3 2 +1,3 2 +1
Crws TLN,2 2 +0,1 3 -2,2 3 -1,4 1 +3,4 5 -1
JitBoyS TLN,3 3 +0,3 3 +0,5 3 +2,4 2 +2,5 2 +3
