,Jremy TS,JessieVash TS,invy TS,Wild0reoo TS,2GE TS
primmie TLN,1 0 +1,,0 1 -1,1 1 +0,1 0 +1
Killua TLN,,,,1 1 +0,0 1 -1
thyy TLN,1 0 +1,,,1 0 +1,1 0 +1
Crws TLN,0 2 -2,,,,
JitBoyS TLN,0 2 -2,,1 1 +0,0 1 -1,
